id;date;name;description;category;currentValue;targetValue;unit;type;trend
data-accuracy;Jan 2026;NPS Partners;Percentage of correct data in our systems;MARKETS;7.5;8;/>8;rating;stable
nps-customers;Jan 2026;NPS Customers;Percentage of data entered automatically;MARKETS;6.5;8;/>8;rating;stable
employee-satisfaction;Jan 2026;Employee Satisfaction;Employee satisfaction with IT ease of use;CULTURE;2.9;4;/5;rating;stable
revenue;Jan 2026;Revenue;How much money;MONEY;6.8;7.84; mio;number;stable
yearly-investments;Jan 2026;Yearly investments;;MONEY;0.9;1.5; mio;number;stable
gross-profit;Jan 2026;Gross profit;;MONEY;65;76;%;percentage;stable
liquidity;Jan 2026;Liquidity;;MONEY;7.3;8.5; ton;number;stable
fra-certificates;Jan 2026;FRA Certificates Growth;Growth in FRA certificates vs December 2024;Sustainability;225;1850;;number;stable
fsa-certificates;Jan 2026;FSA Certificates Growth;Growth in FSA certificates vs December 2024;Markets;851;4071;;number;up
data-accuracy;Feb 2026;NPS Partners;Percentage of correct data in our systems;MARKETS;7.5;8;/>8;rating;stable
nps-customers;Feb 2026;NPS Customers;Percentage of data entered automatically;MARKETS;6.5;8;/>8;rating;stable
employee-satisfaction;Feb 2026;Employee Satisfaction;Employee satisfaction with IT ease of use;CULTURE;2.9;4;/5;rating;stable
revenue;Feb 2026;Revenue;How much money;MONEY;6.8;7.84; mio;number;stable
yearly-investments;Feb 2026;Yearly investments;;MONEY;0.9;1.5; mio;number;stable
gross-profit;Feb 2026;Gross profit;;MONEY;65;76;%;percentage;stable
liquidity;Feb 2026;Liquidity;;MONEY;7.3;8.5; ton;number;stable
fra-certificates;Feb 2026;FRA Certificates Growth;Growth in FRA certificates vs December 2024;Sustainability;225;1850;;number;stable
fsa-certificates;Feb 2026;FSA Certificates Growth;Growth in FSA certificates vs December 2024;Markets;851;4071;;number;up
data-accuracy;Mar 2026;NPS Partners;Percentage of correct data in our systems;MARKETS;7.5;8;/>8;rating;stable
nps-customers;Mar 2026;NPS Customers;Percentage of data entered automatically;MARKETS;6.5;8;/>8;rating;stable
employee-satisfaction;Mar 2026;Employee Satisfaction;Employee satisfaction with IT ease of use;CULTURE;2.9;4;/5;rating;stable
revenue;Mar 2026;Revenue;How much money;MONEY;6.8;7.84; mio;number;stable
yearly-investments;Mar 2026;Yearly investments;;MONEY;0.9;1.5; mio;number;stable
gross-profit;Mar 2026;Gross profit;;MONEY;65;76;%;percentage;stable
liquidity;Mar 2026;Liquidity;;MONEY;7.3;8.5; ton;number;stable
fra-certificates;Mar 2026;FRA Certificates Growth;Growth in FRA certificates vs December 2024;Sustainability;225;1850;;number;stable
fsa-certificates;Mar 2026;FSA Certificates Growth;Growth in FSA certificates vs December 2024;Markets;851;4071;;number;up
