id;date;name;description;category;currentValue;targetValue;unit;type;trend;showTarget;displayType;order;sheet;parentId
nps-partners;Jan 2026;NPS Partners;Percentage of correct data in our systems;MARKETS;5.9;8;/>8;rating;down;no;donut;100;1;
nps-partners;Feb 2026;NPS Partners;Percentage of correct data in our systems;MARKETS;6.8;8;/>8;rating;up;no;donut;100;1;
nps-partners;Mar 2026;NPS Partners;Percentage of correct data in our systems;MARKETS;7.8;8;/>8;rating;up;no;donut;100;1;
nps-customers;Jan 2026;NPS Customers;Percentage of data entered automatically;MARKETS;6.5;8;/>8;rating;stable;no;donut;200;1;
nps-customers;Feb 2026;NPS Customers;Percentage of data entered automatically;MARKETS;7.2;8;/>8;rating;up;no;donut;200;1;
nps-customers;Mar 2026;NPS Customers;Percentage of data entered automatically;MARKETS;7.2;8;/>8;rating;stable;no;donut;200;1;
employee-satisfaction;Jan 2026;Employee Satisfaction;Employee satisfaction with IT ease of use;CULTURE;2.9;4;/5;rating;up;yes;donut;300;1;
employee-satisfaction;Feb 2026;Employee Satisfaction;Employee satisfaction with IT ease of use;CULTURE;3.2;4;/5;rating;up;yes;donut;300;1;
employee-satisfaction;Mar 2026;Employee Satisfaction;Employee satisfaction with IT ease of use;CULTURE;3.7;4;/5;rating;up;yes;donut;300;1;
revenue;Jan 2026;Revenue;How much money;MONEY;6.8;7.84; mio €;number;stable;yes;donut;400;1;
revenue;Feb 2026;Revenue;How much money;MONEY;6.8;7.84; mio €;number;stable;yes;donut;400;1;
revenue;Mar 2026;Revenue;How much money;MONEY;6.8;7.84; mio €;number;stable;yes;donut;400;1;
yearly-investments;Jan 2026;Yearly investments;;MONEY;0.9;1.5; mio €;number;stable;yes;donut;500;1;
yearly-investments;Feb 2026;Yearly investments;;MONEY;1.2;1.5; mio €;number;stable;yes;donut;500;1;
yearly-investments;Mar 2026;Yearly investments;;MONEY;1.55;1.5; mio €;number;stable;yes;donut;500;1;
gross-profit;Jan 2026;Gross profit;;MONEY;65;76;%;percentage;stable;yes;donut;600;1;
gross-profit;Feb 2026;Gross profit;;MONEY;65;76;%;percentage;stable;yes;donut;600;1;
gross-profit;Mar 2026;Gross profit;;MONEY;65;76;%;percentage;stable;yes;donut;600;1;
liquidity-ratio;Jan 2026;Liquidity Ratio;Current liquidity ratio;Liquidity;730;850;K €;number;down;yes;line;800;1;
liquidity-ratio;Feb 2026;Liquidity Ratio;Current liquidity ratio;Liquidity;790;850;K €;number;up;yes;line;800;1;
liquidity-ratio;Mar 2026;Liquidity Ratio;Current liquidity ratio;Liquidity;890;850;K €;number;up;yes;line;800;1;
fra-certificates;Jan 2026;FRA Certificates Growth;Growth in FRA certificates vs December 2024;Sustainability;225;1850;;number;stable;yes;bar;900;1;
fra-certificates;Feb 2026;FRA Certificates Growth;Growth in FRA certificates vs December 2024;Sustainability;225;1850;;number;stable;yes;bar;900;1;
fra-certificates;Mar 2026;FRA Certificates Growth;Growth in FRA certificates vs December 2024;Sustainability;225;1850;;number;stable;yes;bar;900;1;
fsa-certificates;Jan 2026;FSA Certificates Growth;Growth in FSA certificates vs December 2024;Markets;851;4071;;number;up;yes;bar;1000;1;
fsa-certificates;Feb 2026;FSA Certificates Growth;Growth in FSA certificates vs December 2024;Markets;851;4071;;number;up;yes;bar;1000;1;
fsa-certificates;Mar 2026;FSA Certificates Growth;Growth in FSA certificates vs December 2024;Markets;851;4071;;number;up;yes;bar;1000;1;
data-accuracy-org;Jan 2026;;Overall data accuracy goal;Organisation;65;100;%;percentage;stable;yes;donut;100;2;
data-accuracy-org;Feb 2026;;Overall data accuracy goal;Organisation;70;100;%;percentage;up;yes;donut;100;2;
data-accuracy-org;Mar 2026;;Overall data accuracy goal;Organisation;75;100;%;percentage;up;yes;donut;100;2;
data-accuracy-culture;Jan 2026;;Cultural data accuracy;Culture;55;100;%;percentage;stable;yes;donut;200;2;
data-accuracy-culture;Feb 2026;;Cultural data accuracy;Culture;58;100;%;percentage;up;yes;donut;200;2;
data-accuracy-culture;Mar 2026;;Cultural data accuracy;Culture;60;100;%;percentage;up;yes;donut;200;2;
data-accuracy-feedsafety;Jan 2026;;Feed safety data accuracy;Feed Safety;70;100;%;percentage;stable;yes;donut;300;2;
